Artist,Gender Of Student,Band/Individual,North American/British/Other,Year,album rock,art rock,alternative rock,arena rock,blues,blues rock,classic rock,country,folk,glam,gospel,grunge,hard rock,heartland rock,metal,mellow gold,pop,progressive rock,psychedelic rock,punk,r&b,rap rock,rock-and-roll,rockabilly,symphonic rock,piano rock,rock,singer-songwriter,soft rock,old school thrash,thrash metal,glam punk,funk,funk rock,minneapolis sound,synth funk,alternative metal,groove metal,melodic metalcore,nu metal,virginia metal,new romantic,new wave pop,proto-metal,acid rock,experimental,instrumental rock,jazz fusion,jazz rock,zolo,yacht rock,post-grunge,rap metal,sleaze rock,glam metal,permanent wave,glam rock,emo,modern rock,pop punk,pov: indie,brill building pop,folk rock,hel,dance pop,candy pop,pixie,pop emo,art pop,art punk,solo wave,comedy rock,comic,soul,country rock,roots rock,protopunk,ambient guitar,experimental ambient,experimental guitar,experimental rock,garage rock,alternative hip hop,southern rock,swamp rock,baroque pop,sunshine pop,honky tonk,traditional country,yodeling,alternative country,new americana,electric blues,new wave,dance rock,neo mellow,adult standards,power metal,speed metal,disco,motown,quiet storm,britpop,industrial metal,industrial rock,slayer,post-punk,synth punk,synthpop,neo soul
AC/DC,F,Band,Other,2018.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,M,Band,Other,2018.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,M,Band,Other,2019.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,F,Band,Other,2020.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,F,Band,Other,2020.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,?,Band,Other,2021.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,M,Band,Other,2022.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,F,Band,Other,2023.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC/DC,M,Band,Other,2023.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Ant,F,Individual,British,2021.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
